node_id,out_degree
32421047,29
37361670,26
33502676,24
36915151,61
33052586,30
39236111,37
40103662,13
40083743,7
35870108,128
35371416,38
33077898,8
36527639,5
32764409,40
33572789,55
40006576,30
38566089,12
35569186,9
38890497,46
34795627,28
32754411,6
35761798,7
37242755,39
32595752,47
33518568,15
33670742,29
38028723,27
39697625,8
37364052,36
31913450,32
33765255,56
36415379,13
37164223,12
38714819,31
34726743,10
38362053,28
39816023,26
37663691,10
37180782,43
35237090,65
40478296,14
32380648,33
38030235,12
33378480,15
39012818,44
37770913,5
34085613,55
36225287,17
39447601,39
36642785,36
33100661,7
35865806,21
39928156,42
39916849,62
39514089,42
36290469,32
36759900,19
34924732,11
32355565,36
35436907,55
37491518,11
37885940,31
39871057,111
36926717,11
36672902,33
35496695,12
40125205,14
36318083,45
36879737,27
34718414,11
34288818,39
36247935,18
40110558,24
37446297,47
40140680,27
32580953,28
35190680,65
39231174,15
32849540,22
34295036,38
37340856,36
32596350,30
37794751,36
32518069,104
34207752,29
33425417,27
32273505,28
39503776,24
32077891,24
38835916,28
35110174,15
40335540,18
35268894,124
35005448,42
35907962,33
36204614,50
34326813,33
37268420,71
33987259,30
35017621,23
35528853,30
32054234,25
32488680,19
35039065,26
37414863,22
33042279,42
38578749,46
36011413,41
39521831,52
31971292,22
37807121,7
35340770,20
34733038,7
35355322,21
39532365,68
39762372,42
36119803,43
37371368,21
37964700,33
38720886,39
36553777,23
38855114,52
32197082,69
39484244,39
34393374,5
32881418,158
33587034,78
31945544,23
33551825,85
40277939,244
35062579,15
37234960,40
32448019,19
37664879,22
38004100,64
32436224,56
33298150,29
36992206,34
39122728,23
35247108,46
35065325,41
39777348,124
36941262,63
33085012,95
32009326,43
34118167,70
36866804,30
38174133,45
35295884,28
40377725,80
36059697,37
35387783,35
32651374,51
38851765,26
36484810,25
40145553,52
38603414,40
37854740,20
34285200,21
32580717,28
36658308,58
35258457,47
38868665,56
39597735,52
33972475,101
35746229,11
38775031,43
35369146,8
33096347,44
32887304,91
37215878,5
37624314,29
32363634,22
32401938,80
37025229,7
35297391,27
39333525,26
38434574,19
35723302,50
36846506,10
38883267,8
32838757,19
35419190,5
36655075,14
39175806,62
34548853,126
36033952,45
36506212,25
37855218,19
34143000,68
33967443,31
39912577,32
32688458,5
36969665,39
33198710,44
34882861,22
39367894,29
40362965,37
35112285,12
33692949,41
33832481,32
32740713,31
33082482,59
36916512,5
39905183,69
37886950,44
38687604,47
35742458,19
36067514,44
40270778,7
33543816,25
34525330,84
40216961,7
33760220,40
36275777,59
36162124,40
39494201,25
33579945,79
35707055,39
40137229,35
35719891,93
38755189,31
37781092,16
36526806,28
37529644,48
39598475,59
36683516,49
31994668,9
36119336,7
33049873,72
35722052,13
34906991,32
39969100,32
40432096,26
40060270,98
34955869,50
32612247,64
38858683,56
36125055,16
33918581,6
36466163,92
32882944,20
36889305,14
36325515,43
32674475,27
37145278,5
37835052,20
33275925,71
32698394,32
40018111,38
37641040,30
35801187,12
36687026,18
34181441,7
36107518,16
40196532,47
33707337,11
32596474,64
35886475,13
39263142,31
38671321,7
34912003,21
33062647,48
39758821,31
33158103,28
39092402,18
35631536,63
35592652,74
38756815,32
32549924,49
36397730,40
34853534,21
40333038,26
35959219,31
39331902,7
34210685,55
33600468,62
34799269,30
36147657,11
32382101,33
38862330,82
33044727,42
34206467,8
35124602,13
35930268,53
35765218,35
39982496,35
38791489,108
35773658,31
39162364,59
37505527,36
32776792,42
33796811,15
33608363,7
38725997,27
36544666,11
39845801,35
34260312,26
36349254,7
35897556,57
35131030,69
36569720,25
40429855,101
39968412,36
37606073,18
34079579,65
34721862,25
37006766,33
35205448,37
40323171,24
38378647,33
37836780,53
32420907,19
35032553,61
35454746,39
37206176,29
32043139,36
33062453,34
35563448,80
38776411,67
39467077,37
37853028,34
32414416,30
38260500,15
35602706,8
31942010,26
35247070,29
35539182,22
37720780,42
32631520,23
33981443,18
32406661,36
36082179,43
34162785,27
35446094,24
35283932,15
35162632,25
35285804,29
38752923,35
32316115,92
38829619,42
33128372,186
33672993,63
39685255,58
39367086,32
40005418,35
33800416,6
37933347,29
34191143,73
38202125,52
33033328,32
39819385,25
35184764,26
38702447,49
39045167,37
36325176,53
35166841,44
32823809,18
33965972,46
40468417,62
38495792,68
36882699,48
32227347,136
40357229,39
39043390,22
36714513,23
38135651,22
38948114,244
34645441,25
40255872,41
36982250,92
34751849,69
37410442,28
33317589,76
38979675,15
36267471,5
34943134,85
35366024,34
40050951,44
33625582,22
33145039,23
39985100,63
38825703,42
39742319,44
37131757,91
33547575,14
33063887,47
35624363,33
35883830,14
38478343,32
37810821,30
34823540,26
36431702,8
36477816,39
35866359,30
31929730,12
40041738,9
39891223,56
36205779,16
36701732,30
39005821,24
34831714,29
36537013,13
35031976,49
35034054,30
36518950,16
35264798,25
32514474,23
35637645,45
34345547,33
39358550,61
39630700,7
33959828,27
37132239,40
35033209,44
37873448,62
37410698,35
36910746,17
35269894,37
37230991,25
35571830,20
33012238,32
38005757,72
32773465,45
40338483,38
39601985,37
40120680,54
40126223,15
37953324,54
36136981,79
37476420,19
39142670,20
35901284,74
36558551,53
39452463,27
35165309,42
33826706,70
34626614,49
35093953,33
33452361,27
33239093,52
38276270,45
34276647,21
32321988,9
33864815,46
36745820,43
38893320,88
34445699,83
39285347,45
36994151,14
35327712,31
38528884,39
33256613,11
39408630,17
37359317,30
34925811,47
37631161,19
36767390,12
33598012,25
35327439,64
36307780,29
37773495,45
40335076,31
32079095,137
34702432,29
39109525,51
35629912,12
39880840,32
32111134,116
38956523,32
37012269,25
35957475,16
36349888,38
35002742,83
32926573,27
39907959,18
34603477,30
35543254,15
38273767,26
38785801,36
32884173,31
34646931,87
38882865,11
32806870,33
34098979,40
35206043,24
35478073,27
34122263,31
35174323,5
34166802,34
34355295,64
38877563,5
37513686,48
40095230,48
37978222,69
37438528,91
32792569,83
35456208,29
35871433,65
33976220,33
36977246,40
35403872,74
33600098,15
37063338,31
37662825,60
32330131,9
38564024,5
35692700,15
39475227,43
36335709,75
34163090,27
34595932,12
37638999,32
34341467,56
33381451,48
37822789,34
33060601,71
39507795,13
39657271,29
39706891,65
36835041,32
36800022,27
33317595,244
38444989,39
39458753,9
36309986,62
35433451,30
34594603,5
35265899,31
36074446,15
36141723,47
37531322,31
40422487,16
39871884,15
33797153,24
35607373,37
37434812,31
38911923,20
33025459,9
33366570,9
35435192,17
32048277,98
40027138,21
34107905,22
39975149,31
37223805,17
32244651,17
38770082,17
37058375,28
36356797,22
32027582,52
34220154,29
35865140,107
37893134,110
36909179,26
33466447,51
34394253,33
32162057,33
32743012,23
38467734,82
34294053,8
38927297,32
38295719,15
38252380,54
34570802,32
38957685,10
34775638,58
39258658,29
37576892,42
32751448,69
32682465,7
35058907,55
33747044,33
35637923,74
37851218,10
39920109,33
33839682,56
40406234,22
34801024,37
39869005,26
39554934,170
40322445,15
37197196,36
40088924,22
32625215,74
34588767,28
38444990,36
32730595,22
35836246,27
35634946,269
32655571,35
38914930,86
39871828,77
34805729,22
36946432,54
38292040,31
33622149,60
37888778,44
36833477,17
32844009,16
39057435,24
37185956,93
32544832,5
36092937,42
40061778,10
34714712,28
35609885,7
35326502,69
32984553,28
35049137,27
35053528,31
32698292,20
35681481,40
35354828,13
33816801,10
34985962,69
36111965,26
38412388,37
36674705,53
37143309,36
39159143,71
35353855,41
37647289,44
38026935,38
32984643,77
34054330,15
33803791,12
37287773,141
39605721,28
35494520,14
34409361,24
33876221,30
35903185,38
39274129,19
34496810,29
32249793,28
37893015,30
33642954,20
36528758,82
35457586,29
36673926,20
